,Day,Date,VenueType,team2,score,result,OT,Location,Venue,Attendance,team1,season,score2,score1
584,Sun,4/8/1984,H,PhiladelphiaStars,21-22,L,,"Tempe, AZ",Sun Devil Stadium,30252,ArizonaWranglers,1984.0,22.0,21.0
416,Sun,4/8/1984,A,NewJerseyGenerals,10-35,L,,"East Rutherford, NJ",Giants Stadium,43671,MemphisShowboats,1984.0,35.0,10.0
396,Sun,4/8/1984,H,PittsburghMaulers,27-24,W,,"New Orleans, LA",Louisiana Superdome,39315,NewOrleansBreakers,1984.0,24.0,27.0
878,Mon,4/8/1985,A,DenverGold,7-28,L,,"Denver, CO",Mile High Stadium,12769,ArizonaOutlaws,1985.0,28.0,7.0
219,Sat,4/9/1983,H,TampaBayBandits,16-22,L,OT,"Denver, CO",Mile High Stadium,46848,DenverGold,1983.0,22.0,16.0
456,Mon,4/9/1984,H,WashingtonFederals,31-13,W,,"Houston, TX",Astrodome,16710,HoustonGamblers,1984.0,13.0,31.0
610,Mon,4/9/1984,H,LosAngelesExpress,35-27,W,,"Denver, CO",Mile High Stadium,19115,DenverGold,1984.0,27.0,35.0
94,Sun,5/1/1983,A,BostonBreakers,28-24,W,,"Boston, MA",Nickerson Field,10971,MichiganPanthers,1983.0,24.0,28.0
160,Sun,5/1/1983,A,WashingtonFederals,35-3,W,,"Washington, DC",RFK Stadium,12818,BirminghamStallions,1983.0,3.0,35.0
202,Sun,5/1/1983,H,ChicagoBlitz,17-38,L,,"Los Angeles, CA",Memorial Coliseum,21123,LosAngelesExpress,1983.0,38.0,17.0
222,Sun,5/1/1983,H,NewJerseyGenerals,29-34,L,,"Denver, CO",Mile High Stadium,47940,DenverGold,1983.0,34.0,29.0
1006,Sun,5/1/2022,H,NewJerseyGenerals,16-24,L,,"Birmingham, AL",Protective Stadium,,PhiladelphiaStars,2022.0,24.0,16.0
1034,Sun,5/1/2022,A,MichiganPanthers,0-24,L,,"Birmingham, AL",Protective Stadium,,PittsburghMaulers,2022.0,24.0,0.0
1098,Sun,5/1/2022,H,NewJerseyGenerals,16-24,L,,"Birmingham, AL",Protective Stadium,,PhiladelphiaStars,2022.0,24.0,16.0
615,Fri,5/11/1984,H,ChicagoBlitz,17-29,L,,"Denver, CO",Mile High Stadium,45299,DenverGold,1984.0,29.0,17.0
441,Fri,5/11/1984,A,BirminghamStallions,10-42,L,,"Birmingham, AL",Legion Field,29500,JacksonvilleBulls,1984.0,42.0,10.0
505,Fri,5/11/1984,A,MemphisShowboats,14-38,L,,"Memphis, TN",Liberty Bowl,32406,SanAntonioGunslingers,1984.0,38.0,14.0
314,Fri,5/11/1984,H,NewJerseyGenerals,31-17,W,,"Washington, DC",RFK Stadium,11367,WashingtonFederals,1984.0,17.0,31.0
903,Sat,5/11/1985,A,BirminghamStallions,0-14,L,,"Birmingham, AL",Legion Field,28500,PortlandBreakers,1985.0,14.0,0.0
943,Sat,5/11/1985,A,OaklandInvaders,6-27,L,,"Oakland, CA",Oakland-Alameda County Coliseum,12482,LosAngelesExpress,1985.0,27.0,6.0
461,Sat,5/12/1984,A,PittsburghMaulers,47-26,W,,"Pittsburgh, PA",Three Rivers Stadium,24880,HoustonGamblers,1984.0,26.0,47.0
725,Sun,5/12/1985,A,NewJerseyGenerals,3-10,L,,"East Rutherford, NJ",Giants Stadium,34446,BaltimoreStars,1985.0,10.0,3.0
861,Sun,5/12/1985,A,MemphisShowboats,15-17,L,,"Memphis, TN",Liberty Bowl,27325,HoustonGamblers,1985.0,17.0,15.0
883,Sun,5/12/1985,H,DenverGold,28-42,L,,"Tempe, AZ",Sun Devil Stadium,5731,ArizonaOutlaws,1985.0,42.0,28.0
773,Sun,5/12/1985,H,TampaBayBandits,10-21,L,,"Jacksonville, FL",Gator Bowl,58928,JacksonvilleBulls,1985.0,21.0,10.0
483,Sun,5/13/1984,A,NewOrleansBreakers,3-10,L,,"New Orleans, LA",Louisiana Superdome,21053,MichiganPanthers,1984.0,10.0,3.0
565,Sun,5/13/1984,A,PhiladelphiaStars,14-18,L,,"Philadelphia, PA",Veterans Stadium,22391,LosAngelesExpress,1984.0,18.0,14.0
635,Sun,5/13/1984,H,ArizonaWranglers,14-3,W,,"Oakland, CA",Oakland-Alameda County Coliseum,20004,OaklandInvaders,1984.0,3.0,14.0
923,Mon,5/13/1985,A,OrlandoRenegades,20-21,L,,"Orlando, FL",Orlando Stadium,15000,SanAntonioGunslingers,1985.0,21.0,20.0
1074,Fri,5/13/2022,H,MichiganPanthers,27-20,W,,"Birmingham, AL",Protective Stadium,,TampaBayBandits,2022.0,20.0,27.0
204,Sat,5/14/1983,A,BirminghamStallions,20-35,L,,"Birmingham, AL",Legion Field,42212,LosAngelesExpress,1983.0,35.0,20.0
525,Mon,5/14/1984,A,TampaBayBandits,21-48,L,,"Tampa, FL",Tampa Stadium,45116,OklahomaOutlaws,1984.0,48.0,21.0
982,Sat,5/14/2022,A,NewJerseyGenerals,17-27,L,,"Birmingham, AL",Protective Stadium,,NewOrleansBreakers,2022.0,27.0,17.0
1048,Sat,5/14/2022,A,NewJerseyGenerals,17-27,L,,"Birmingham, AL",Protective Stadium,,NewOrleansBreakers,2022.0,27.0,17.0
1086,Sat,5/14/2022,A,NewJerseyGenerals,17-27,L,,"Birmingham, AL",Protective Stadium,,NewOrleansBreakers,2022.0,27.0,17.0
244,Sun,5/15/1983,A,TampaBayBandits,14-20,L,,"Tampa, FL",Tampa Stadium,32327,ArizonaWranglers,1983.0,20.0,14.0
120,Sun,5/15/1983,A,PhiladelphiaStars,24-31,L,,"Philadelphia, PA",Veterans Stadium,20931,ChicagoBlitz,1983.0,31.0,24.0
1008,Sun,5/15/2022,H,BirminghamStallions,17-30,L,,"Birmingham, AL",Protective Stadium,,PhiladelphiaStars,2022.0,30.0,17.0
1062,Sun,5/15/2022,H,PittsburghMaulers,20-21,L,,"Birmingham, AL",Protective Stadium,,HoustonGamblers,2022.0,21.0,20.0
1100,Sun,5/15/2022,H,BirminghamStallions,17-30,L,,"Birmingham, AL",Protective Stadium,,PhiladelphiaStars,2022.0,30.0,17.0
224,Mon,5/16/1983,A,BostonBreakers,9-17,L,,"Boston, MA",Nickerson Field,4173,DenverGold,1983.0,17.0,9.0
96,Mon,5/16/1983,H,NewJerseyGenerals,31-24,W,,"Pontiac, MI",Pontiac Silverdome,32862,MichiganPanthers,1983.0,24.0,31.0
182,Mon,5/16/1983,H,WashingtonFederals,34-27,W,,"Oakland, CA",Oakland-Alameda County Coliseum,25900,OaklandInvaders,1983.0,27.0,34.0
794,Fri,5/17/1985,H,BaltimoreStars,21-34,L,,"Orlando, FL",Orlando Stadium,15000,OrlandoRenegades,1985.0,34.0,21.0
546,Fri,5/18/1984,H,BirminghamStallions,7-41,L,,"Chicago, IL",Soldier Field,8578,ChicagoBlitz,1984.0,41.0,7.0
924,Sat,5/18/1985,H,OaklandInvaders,21-24,L,,"San Antonio, TX",Alamo Stadium,7118,SanAntonioGunslingers,1985.0,24.0,21.0
752,Sat,5/18/1985,H,MemphisShowboats,14-38,L,,"Tampa, FL",Tampa Stadium,35000,TampaBayBandits,1985.0,38.0,14.0
616,Sat,5/19/1984,A,ArizonaWranglers,6-41,L,,"Tempe, AZ",Sun Devil Stadium,21741,DenverGold,1984.0,41.0,6.0
636,Sat,5/19/1984,H,MemphisShowboats,29-14,W,,"Oakland, CA",Oakland-Alameda County Coliseum,22030,OaklandInvaders,1984.0,14.0,29.0
442,Sat,5/19/1984,A,PhiladelphiaStars,12-45,L,,"Philadelphia, PA",Veterans Stadium,33194,JacksonvilleBulls,1984.0,45.0,12.0
904,Sun,5/19/1985,H,ArizonaOutlaws,21-30,L,,"Portland, OR",Civic Stadium,15275,PortlandBreakers,1985.0,30.0,21.0
944,Sun,5/19/1985,H,BirminghamStallions,7-44,L,,"Los Angeles, CA",Memorial Coliseum,4658,LosAngelesExpress,1985.0,44.0,7.0
840,Sun,5/19/1985,H,NewJerseyGenerals,28-24,W,,"Denver, CO",Mile High Stadium,29129,DenverGold,1985.0,24.0,28.0
242,Mon,5/2/1983,A,OaklandInvaders,20-34,L,,"Oakland, CA",Oakland-Alameda County Coliseum,27460,ArizonaWranglers,1983.0,34.0,20.0
506,Sun,5/20/1984,A,WashingtonFederals,30-14,W,,"Washington, DC",RFK Stadium,6159,SanAntonioGunslingers,1984.0,14.0,30.0
526,Sun,5/20/1984,A,HoustonGamblers,12-31,L,,"Houston, TX",Astrodome,31142,OklahomaOutlaws,1984.0,31.0,12.0
566,Sun,5/20/1984,H,MichiganPanthers,24-17,W,,"Los Angeles, CA",Memorial Coliseum,10193,LosAngelesExpress,1984.0,17.0,24.0
402,Sun,5/20/1984,A,TampaBayBandits,20-31,L,,"Tampa, FL",Tampa Stadium,42592,NewOrleansBreakers,1984.0,31.0,20.0
862,Mon,5/20/1985,H,JacksonvilleBulls,17-20,L,,"Houston, TX",Astrodome,17127,HoustonGamblers,1985.0,20.0,17.0
183,Sat,5/21/1983,A,TampaBayBandits,9-29,L,,"Tampa, FL",Tampa Stadium,43389,OaklandInvaders,1983.0,29.0,9.0
335,Mon,5/21/1984,A,NewJerseyGenerals,14-16,L,,"East Rutherford, NJ",Giants Stadium,41212,PittsburghMaulers,1984.0,16.0,14.0
1101,Sat,5/21/2022,H,TampaBayBandits,35-28,W,,"Birmingham, AL",Protective Stadium,,PhiladelphiaStars,2022.0,28.0,35.0
1025,Sat,5/21/2022,A,BirminghamStallions,17-33,L,,"Birmingham, AL",Protective Stadium,,MichiganPanthers,2022.0,33.0,17.0
225,Sun,5/22/1983,H,LosAngelesExpress,10-14,L,,"Denver, CO",Mile High Stadium,32963,DenverGold,1983.0,14.0,10.0
